,paradigm_name,trialNum,cue_onset,cue_dur,delayTime,delay_resp_period,rest_dur,trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,targImage,targImage_i,targImage_pos,targImage_X,targImage_Y,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,circle_dur,circle_onset,total_dur,cross_onset,cross_dur
8,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,80,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
9,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,81,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
10,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,82,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
11,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,83,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
12,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,84,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
13,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,85,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
14,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,86,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
15,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,87,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
16,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,88,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
17,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,89,PRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
0,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,90,UNPRED,12,0.46306491382689074,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
1,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,91,UNPRED,12,0.46306491382689074,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
2,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,92,UNPRED,12,0.46306491382689074,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
3,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,93,UNPRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
4,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,94,UNPRED,12,0.46306491382689074,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
5,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,95,UNPRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
6,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,96,UNPRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
7,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,97,UNPRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
8,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,98,UNPRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
9,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,99,UNPRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
10,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,100,UNPRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
11,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,101,UNPRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
12,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,102,UNPRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
13,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,103,UNPRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
14,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,104,UNPRED,12,0.46306491382689074,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
15,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,105,UNPRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
16,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,106,UNPRED,12,0.46306491382689074,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
17,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,107,UNPRED,12,0.46306491382689074,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
0,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,108,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
1,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,109,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
2,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,110,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
3,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,111,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
4,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,112,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
5,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,113,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
6,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,114,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
7,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,115,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
8,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,116,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
9,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,117,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
10,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,118,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
11,stimBlast,18,0,0.2,0.46306491382689074,0.8,0.2,119,PRED,12,0.46306491382689074,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789466,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789466,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.46306491382689074,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2
